filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
14. qesyjeyxu8ah3cka0ldb.jpg,102535,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""polygon"",""all_points_x"":[147,147,155,165,197,231,290,325,332,311,325,328,323,334,334,265,245,242,220,209,208,190,172,156,147],""all_points_y"":[649,682,710,762,798,840,843,824,785,745,716,693,665,649,618,564,581,598,642,635,623,606,606,615,631]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
15. 39504259%20totaled%20car.jpg,131797,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""polygon"",""all_points_x"":[169,162,175,192,183,181,162,147,134,139,136,155,167,175,186,190,195,190,197,198,233,682,754,756,743,765,760,762,796,807,809,813,829,841,843,838,820,809,815,812,818,827,829,862,898,915,926,926,915,905,894,887,873,855,795,746,709,663,643,615,584,510,465,431,384,345,314,297,233,209,197],""all_points_y"":[784,768,731,674,624,579,531,487,471,429,384,345,322,320,362,382,387,356,326,293,290,219,240,275,323,339,368,384,457,487,500,512,521,553,578,610,649,662,674,698,716,735,756,754,741,709,667,643,759,805,848,874,912,955,965,962,949,933,932,927,932,949,949,949,944,943,944,951,879,868,849]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
17. damage-car-front-side-accident-43053232.jpg,178421,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",2,0,"{""name"":""polygon"",""all_points_x"":[37,41,41,47,56,73,92,116,131,100,75],""all_points_y"":[236,254,267,283,295,309,306,293,275,239,231]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
17. damage-car-front-side-accident-43053232.jpg,178421,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",2,1,"{""name"":""polygon"",""all_points_x"":[258,258,259,265,278,300,322,347,357,386,431,467,509,551,571,603,637,643,679,690,702,715,726,756,793,771,768,774,779,796,821,829,843,854,902,924,930,935,943,946,946,941,935,929,919,904,891,891,869,855,863,862,851,837,821,802,765,718,677,628,573,553,520,501,428,347,314,283,264,267,273],""all_points_y"":[234,265,281,300,323,343,361,375,375,373,375,382,400,425,443,470,500,506,546,564,585,621,663,688,649,674,693,712,732,735,749,724,712,699,662,642,604,581,548,523,487,460,426,387,351,314,293,287,262,254,244,226,212,187,165,145,133,130,131,131,131,109,145,137,145,175,187,200,209,220,225]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
18. gettyimages-90201033-58d2cd183df78c5162261e89.jpg,77809,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""polygon"",""all_points_x"":[165,228,286,359,396,437,473,492,501,490,481,484,493,396,345,328,315,297,278,256,233,209,198,190,197,195,195,190,184,186,189,190,190],""all_points_y"":[467,475,471,479,481,485,481,456,454,481,500,515,540,603,620,618,617,612,612,609,601,601,601,596,556,543,524,512,503,490,484,476,475]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
19. auto-accident[2].jpg,66972,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""polygon"",""all_points_x"":[142,176,242,308,400,476,565,592,773,681,665,685,702,715,740,740,702,659,643,634,613,624,621,545,559,584,615,663,684,652,578,545,521,459,421,384,361,347,322,326,245,184,128,106,92,78,78,75,94,106,105,103,103,105,109,120,131,140,144],""all_points_y"":[236,217,190,164,134,117,100,95,192,244,256,286,325,370,400,418,393,393,401,417,476,479,492,524,556,581,638,702,737,757,816,816,793,713,687,659,659,640,635,617,637,642,626,609,581,534,503,450,423,401,381,368,343,318,293,275,258,253,251]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
20. traffic-accident-car-damage-to-the-bodywork-detail-opel-astra-traffic-h3ybym.jpg,129227,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",3,0,"{""name"":""polygon"",""all_points_x"":[801,824,841,854,865,880,898,905,884,880,841,824,809,795,795],""all_points_y"":[556,553,553,557,543,545,553,559,568,578,593,585,587,573,571]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
20. traffic-accident-car-damage-to-the-bodywork-detail-opel-astra-traffic-h3ybym.jpg,129227,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",3,1,"{""name"":""polygon"",""all_points_x"":[22,37,61,81,116,133,147,159,180,198,223,239,259,290,317,384,396,415,431,446,462,484,465,462,457,407,384,365,339,317,308,286,262,242,200,197,189,173,111,95,86,53,52,31,14,5,8,8,9],""all_points_y"":[100,89,92,97,106,105,103,92,81,72,62,56,56,59,83,114,120,125,131,142,150,165,197,200,214,206,194,183,170,159,156,140,136,133,144,150,150,150,137,139,155,190,201,192,180,162,148,130,117]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
20. traffic-accident-car-damage-to-the-bodywork-detail-opel-astra-traffic-h3ybym.jpg,129227,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",3,2,"{""name"":""polygon"",""all_points_x"":[283,336,361,390,450,465,517,537,615,646,701,737,765,746,702,690,651,629,606,549,504,481,470,454,437,384,379,350,317,309,289,268,253,239,223,239,318,343,339,323,312,301,287,284,286,286,289,289],""all_points_y"":[290,293,312,343,390,395,418,420,432,437,450,451,473,489,545,562,581,593,604,629,651,674,693,702,706,692,671,607,565,545,518,493,471,456,440,434,442,442,401,389,404,407,387,368,361,342,326,315]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
21. transport-traffic-car-crash-108272744-57e42b2f5f9b586c35a106a4.jpg,76739,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""polygon"",""all_points_x"":[629,626,617,613,613,604,631,640,646,652,634,671,727,743,759,759,751,734,718,712,692],""all_points_y"":[275,304,337,365,395,420,489,518,546,562,574,620,662,626,537,507,456,407,382,357,342]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
22. california-sell-damaged-car.jpg,87386,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",2,0,"{""name"":""polygon"",""all_points_x"":[504,537,559,585,612,628,654,670,673,677,662,662,656,651,632,604,582,551,532,510,492,485,490,493],""all_points_y"":[475,473,479,481,485,485,487,475,470,481,510,531,553,568,581,587,587,579,576,573,568,537,521,500]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
22. california-sell-damaged-car.jpg,87386,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",2,1,"{""name"":""polygon"",""all_points_x"":[190,204,226,250,272,290,308,303,342,390,440,496,553,584,620,640,684,727,752,773,787,791,823,834,846,859,846,832,813,796,765,743,721,710,667,657,657,652,649,634,609,581,549,534,521,512,490,475,375,314,240,200],""all_points_y"":[450,412,386,356,331,314,309,287,254,228,206,192,181,178,175,181,159,150,150,162,187,208,248,259,272,281,303,314,318,320,312,312,315,326,354,362,381,395,404,412,421,431,432,436,437,439,456,456,464,467,464,462]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
24. sixt_faqs_commercial_claims_damage.jpg,84674,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",2,0,"{""name"":""polygon"",""all_points_x"":[526,540,557,570,571,590,617,631,643,667,696,710,734,746,752,752,759,770,795,816,829,837,801,771,710,677,632,612,570,542,528],""all_points_y"":[805,821,838,849,823,829,849,863,877,912,927,929,937,938,921,908,902,887,880,874,871,859,834,835,835,827,798,793,785,777,762]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
24. sixt_faqs_commercial_claims_damage.jpg,84674,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",2,1,"{""name"":""polygon"",""all_points_x"":[484,485,484,495,518,529,554,578,651,713,779,863,910,944,963,983,1008,1021,999,951,898,771,673,598,532,498],""all_points_y"":[258,172,123,98,67,52,55,56,87,126,180,262,325,362,417,468,512,543,599,607,599,578,549,523,503,481]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
25. using-location-of-car-accident-damage-for-fault.jpg,105447,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",8,0,"{""name"":""polygon"",""all_points_x"":[28,39,52,76,103,120,134,151,173,170,180,180,172,117,101,83,72],""all_points_y"":[145,153,153,150,145,136,116,112,76,56,39,19,11,3,8,25,44]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
25. using-location-of-car-accident-damage-for-fault.jpg,105447,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",8,1,"{""name"":""polygon"",""all_points_x"":[108,94,94,91,81,78,72,100,116,122,128,126,125,128,134,134,133,133],""all_points_y"":[247,268,289,322,395,418,451,507,495,465,426,387,351,317,287,261,239,231]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
25. using-location-of-car-accident-damage-for-fault.jpg,105447,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",8,2,"{""name"":""polygon"",""all_points_x"":[317,339,365,389,387,386,387,389,390,393,392,389,384,356,339,303,304,298,303],""all_points_y"":[648,648,648,674,699,738,771,793,818,848,871,891,905,930,919,908,880,816,787]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
25. using-location-of-car-accident-damage-for-fault.jpg,105447,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",8,3,"{""name"":""polygon"",""all_points_x"":[507,568,584,609,645,673,665,643,665,685,696,692,677,632,618,596,588,573,534,512,485,475,484],""all_points_y"":[901,918,918,918,923,924,954,962,988,993,1007,1018,1018,996,990,974,980,980,966,955,930,915,907]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
25. using-location-of-car-accident-damage-for-fault.jpg,105447,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",8,4,"{""name"":""polygon"",""all_points_x"":[955,940,915,888,891,877,890,884,888,888,890,893,896,902,902,901,901,921,930,938,951],""all_points_y"":[98,114,145,167,217,259,308,334,381,400,414,436,456,468,481,503,518,534,539,574,585]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
25. using-location-of-car-accident-damage-for-fault.jpg,105447,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",8,5,"{""name"":""polygon"",""all_points_x"":[933,901,887,887,885,905,910,912,905,890,884,877,877,879,879,874,874,924],""all_points_y"":[768,791,812,824,849,879,893,907,916,924,933,954,971,985,1002,1012,1018,1018]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
25. using-location-of-car-accident-damage-for-fault.jpg,105447,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",8,6,"{""name"":""polygon"",""all_points_x"":[999,1015,1016,1019,1005,1002],""all_points_y"":[176,175,175,429,431,418]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
25. using-location-of-car-accident-damage-for-fault.jpg,105447,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",8,7,"{""name"":""polygon"",""all_points_x"":[716,745,776,801,830,852,863,860,871,871,840,826,798,773,757,738,726,713,710],""all_points_y"":[262,247,222,201,178,162,170,195,214,225,256,268,281,290,295,300,303,293,289]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
27. car-accident-damage.jpg,98969,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",4,0,"{""name"":""polygon"",""all_points_x"":[640,665,676,693,716,740,790,809,818,796,748,727,667,656,640,634,628,621,621],""all_points_y"":[699,693,693,699,710,718,741,743,749,788,840,843,848,834,829,805,766,737,731]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
27. car-accident-damage.jpg,98969,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",4,1,"{""name"":""polygon"",""all_points_x"":[176,192,187,206,212,231,253,315,318,326,326,325,303,298,276,272,270,272,270,265,258,245,228],""all_points_y"":[368,343,329,306,295,267,267,276,293,315,329,343,354,356,350,354,367,381,389,400,403,403,403]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
27. car-accident-damage.jpg,98969,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",4,2,"{""name"":""polygon"",""all_points_x"":[187,236,261,272,283,284,276,279,308,372,395,409,425,457,498,571,632,660,734,780,801,821,846,855,840,796,729,640,628,628,626,621,624,634,624,599,534,528,485,439,396,345,328,315,293,290,279,267,247,239,220],""all_points_y"":[434,439,445,434,421,400,367,362,362,384,386,387,407,418,434,440,431,429,431,448,462,484,514,539,567,565,551,540,559,579,598,618,652,665,671,704,724,727,727,713,709,710,712,712,687,649,604,578,535,503,476]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
27. car-accident-damage.jpg,98969,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",4,3,"{""name"":""polygon"",""all_points_x"":[309,325,336,345,345,353,347,340,350,350,364,373,384,387,390,415,420,428,437,467,481,503,515,535,557,578,598,615,640,654,671,698,713,745,760,776,790,815,793,721,702,665,620,596,540,496,443,404,362,354],""all_points_y"":[92,114,136,151,170,219,236,264,323,343,350,357,365,365,343,304,293,276,256,231,226,226,226,225,219,211,208,208,200,197,197,192,194,200,203,208,212,226,201,169,162,164,162,159,159,158,158,137,111,109]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
28. can-i-sue-for-minor-damages-to-my-car-1.jpg,91751,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",2,0,"{""name"":""polygon"",""all_points_x"":[303,315,342,339,343,356,389,415,423,384,379,398,409,404,384,372,334,290,272,281,309,314,311,303,297,240,212,172,128,97,72,62,59,53,56,47,47,45,47,48,73,86,116,134,156,173,178,194,203,215,253,267],""all_points_y"":[393,404,437,460,481,487,498,520,542,551,579,606,642,671,701,724,738,749,757,771,827,866,887,921,962,1018,1013,1010,1012,1010,1005,994,948,926,873,843,818,788,768,743,724,688,681,674,673,643,613,556,539,517,475,453]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
28. can-i-sue-for-minor-damages-to-my-car-1.jpg,91751,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",2,1,"{""name"":""polygon"",""all_points_x"":[151,158,155,159,145,75,73,92,108,109],""all_points_y"":[236,250,281,306,347,389,351,323,275,259]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
29. vehicle-damage.jpg,81067,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""polygon"",""all_points_x"":[337,396,442,493,543,599,646,670,701,727,762,777,793,802,809,759,668,560,570,638,643,654,651,648,643,560,528,465,434,403,339,337,322,323,326,284,272,287,309,293,248,250,245,290,306,361,375,356],""all_points_y"":[142,151,161,183,203,231,256,253,275,318,328,393,448,493,521,546,545,562,626,668,668,709,759,793,827,852,852,851,848,843,801,768,713,674,671,617,585,535,534,507,471,426,393,350,342,322,318,240]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
32. car-rental-damage-claim.jpg,76248,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""polygon"",""all_points_x"":[359,354,353,359,365,368,372,368,373,390,403,401,387,375,368],""all_points_y"":[493,526,553,571,596,613,637,656,662,596,562,543,520,504,498]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
33_storm-damage-1531004_960_720.original.jpg,158731,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""polygon"",""all_points_x"":[155,161,172,170,162,153,159,140,125,117,117,122,136,148,159,169,178,184,197,211,215,236,259,275,297,308,322,337,370,400,428,453,465,515,542,582,603,635,652,681,709,741,768,773,916,933,938,941,941,938,940,968,971,966,965,951,944,927,885,798,741,236],""all_points_y"":[754,679,607,545,485,429,395,396,393,382,372,362,359,356,356,357,336,293,275,254,261,256,256,256,265,276,311,315,315,315,283,265,245,262,281,290,298,314,325,343,372,403,426,418,531,560,588,623,667,702,718,752,763,787,809,834,852,884,924,985,1019,1018]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
34. car.jpg,85425,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""polygon"",""all_points_x"":[244,261,278,292,306,320,342,375,409,450,478,510,523,529,514,515,521,529,557,559,556,545,548,562,587,610,618,618,609,603,603,603,601,595,590,596,603,609,637,640,670,670,659,634,607,581,573,535,528,509,453,409,390,343,278],""all_points_y"":[283,312,342,351,361,379,450,473,487,500,501,512,535,564,612,640,657,676,679,701,724,804,823,862,865,843,802,746,701,668,640,590,543,500,462,412,384,343,325,315,290,281,268,261,256,242,237,237,240,244,253,265,268,272,272]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
37. car-damage-by-accident-at-malshej-ghat-maharashtra-india-et0y8c.jpg,135436,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""polygon"",""all_points_x"":[72,80,100,142,153,139,134,131,147,173,203,240,275,309,334,347,368,403,428,445,464,479,495,515,528,534,553,582,568,565,551,501,482,504,493,496,471,446,434,446,485,514,517,478,470,462,459,426,390,378,361,337,309,290,256,233,192,178,148,140,142,136,126,105],""all_points_y"":[510,464,425,403,390,378,337,300,268,275,281,293,297,309,322,336,334,337,343,356,375,379,387,393,401,420,420,407,442,459,467,459,464,484,512,524,524,531,537,542,548,554,565,606,620,637,640,638,631,628,623,612,606,603,599,598,592,588,585,582,579,567,551,534]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
38. single-car-accident.jpg,114946,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""polygon"",""all_points_x"":[240,267,298,348,445,553,631,690,735,770,795,793,788,780,759,746,734,738,734,735,732,724,726,718,695,665,640,645,621,592,559,501,470,450,429,415,404,378,308,286,284,270,253,236,206,178,167,159,165,169,126,101,83,69,66,59,59,66,58,53,76,125,153,172,153,134,136,140,159,183,209,239,229,228,195,190,173,164,222,234,228,244],""all_points_y"":[200,178,162,147,122,108,100,112,167,211,258,284,293,320,332,350,357,379,407,432,464,487,507,521,531,520,560,584,652,660,656,635,617,606,612,668,677,695,704,679,643,603,551,543,537,520,524,548,565,571,624,681,746,795,807,810,788,762,751,752,656,574,537,506,471,426,382,375,400,415,425,420,396,368,396,398,351,332,300,275,245,222]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
39. 06162016-newlookframedamage-300x199.jpg,91077,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""polygon"",""all_points_x"":[365,437,528,659,790,896,929,898,835,788,727,706,685,668,665,724,777,834,848,846,834,815,829,827,809,795,779,801,801,790,777,745,543,407,357,350,372,376,373,365,375,378,376,373],""all_points_y"":[223,211,206,215,239,262,276,304,320,339,375,398,437,475,487,492,485,493,501,524,542,557,568,587,603,607,613,628,652,682,706,723,702,712,718,688,671,632,542,456,393,331,250,229]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
40. 22047965_1432352173545887_5694790267270982723_o.jpg,92538,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",3,0,"{""name"":""polygon"",""all_points_x"":[197,228,283,308,325,322,317,308,300,290,279,265,222,187,158,125,122,155,155,162],""all_points_y"":[818,799,793,793,813,838,871,899,929,966,983,999,1012,1019,1018,1004,987,908,888,862]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
40. 22047965_1432352173545887_5694790267270982723_o.jpg,92538,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",3,1,"{""name"":""polygon"",""all_points_x"":[450,487,521,557,588,626,659,684,690,706,716,721,716,713,667,638,576,553,532,478,478,478,475,451,437],""all_points_y"":[549,531,514,503,501,509,531,567,587,645,651,674,690,706,724,721,707,699,688,668,642,613,584,576,559]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
40. 22047965_1432352173545887_5694790267270982723_o.jpg,92538,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",3,2,"{""name"":""polygon"",""all_points_x"":[325,353,368,384,396,414,429,453,473,495,510,540,542,551,551,548,548,537,528,524,514,503,503,484,471,450,407,386,365,336,334],""all_points_y"":[638,642,637,651,662,690,715,743,765,790,832,890,918,955,982,1001,1018,1021,1024,1024,997,962,930,874,832,796,759,732,693,668,651]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
41. car.jpg,80528,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""polygon"",""all_points_x"":[264,470,534,596,643,677,685,688,688,684,674,674,673,674,642,459,364,308,289,276,265,259,259],""all_points_y"":[443,468,475,465,467,468,482,500,531,564,592,613,651,668,682,737,776,798,799,749,674,587,496]}","{""name"":""not_defined"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
